,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
carmen de areco,2,12471,11994,12336,9651,9316,9980,3623,3995,4898,3786,2087,2426,1137,1162,803,1628,1225,1135,397,403,64,151,127
tornquist,2,11422,12945,12929,9377,9643,9704,4127,4362,5101,2616,1282,1303,1092,1097,976,872,417,339,1650,1547,304,385,276
capitan sarmiento,2,11654,12195,12534,9141,8887,10069,3287,3828,5206,2596,1939,2106,1579,1413,1314,1478,570,879,336,331,122,187,153
general paz,2,9625,10227,10515,8501,8278,8908,3238,3044,4039,3162,2761,3058,1048,1238,1079,595,456,326,175,177,112,181,156
adolfo gonzales chaves,2,10420,10473,10473,8846,7164,8109,2279,2427,3201,3347,2084,2512,1035,1136,856,1694,1448,1245,210,237,112,207,138
roque perez,2,9682,10650,10286,7703,7886,8057,2735,3717,4000,2505,2101,2215,1432,1530,1185,920,435,348,213,229,71,148,126
carlos tejedor,2,9841,9487,9837,8478,7318,7759,3793,2511,3579,3223,1343,1459,591,1210,761,893,680,534,1112,1503,84,167,131
maipu,2,9500,9887,9871,7031,7172,7981,3868,3347,3984,1795,1552,1693,1009,1668,1516,897,454,463,108,113,84,179,162
guamini,2,8839,9833,9825,7248,7501,7596,2933,3287,3726,2944,2135,2444,625,956,845,800,700,499,166,161,66,132,94
general pinto,2,9187,9354,9698,7003,7196,8007,2475,2465,3080,2793,1026,1019,1202,2698,2970,918,486,427,245,212,241,219,210
general la madrid,2,9049,9482,9483,7742,7020,7782,3191,3243,4030,2769,2133,2185,547,861,605,989,537,438,146,178,91,177,91
laprida,2,9156,9376,9362,7603,6802,7557,2896,2698,3219,3110,2595,3079,501,558,550,644,374,322,186,151,250,165,130
