Código Partido;Denominacion;Lista Interna;Agrupación
3012;FEDERAL                                                                                             ;FEDERALISMO PURO                                                                                    ;0008
3013;FEDERAL                                                                                             ;RECREO SOCIAL                                                                                       ;0008
3014;FEDERAL                                                                                             ;ROJO PUNZO                                                                                          ;0008
3016;HUMANISTA                                                                                           ;COHERENCIA                                                                                          ;0022
3017;HUMANISTA                                                                                           ;NARANJA                                                                                             ;0022
3018;HUMANISTA                                                                                           ;NARANJA                                                                                             ;0022
3019;UNION POPULAR                                                                                       ;BLANCA                                                                                              ;0023
3020;UNION POPULAR                                                                                       ;UNIDAD                                                                                              ;0023
3022;NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ;FEDERALISMO Y CIUDADANIA                                                                            ;0033
3023;NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ;UNIR MI JUJUY                                                                                       ;0033
3024;NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ;UNION PARA RENOVAR SANTA FE                                                                         ;0033
3025;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;IZQUIERDA AL FRENTE                                                                                 ;0038
3026;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;MST - NUEVA IZQUIERDA                                                                               ;0038
3027;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;UNIDAD                                                                                              ;0038
3028;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;VAMOS POR UNA IZQUIERDA AL FRENTE                                                                   ;0038
3029;MOVIMIENTO LIBRES DEL SUR                                                                           ;LIBRES                                                                                              ;0040
3030;COALICION CIVICA - ARI                                                                              ;AGUA, TIERRA, ENERGIAS LIMPIAS - NO A LA PLANTA NUCLEAR                                             ;0047
3031;SOCIALISTA                                                                                          ;ALFREDO BRAVO                                                                                       ;0050
3032;SOCIALISTA                                                                                          ;ENCUENTRO SOCIAL                                                                                    ;0050
3033;SOCIALISTA                                                                                          ;LISTA UNICA                                                                                         ;0050
3034;IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ;HACIA EL FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                  ;0061
3035;UNION CELESTE Y BLANCO                                                                              ;UNIDOS POR SANTA FE                                                                                 ;0065
3036;GEN                                                                                                 ;UN SAN LUIS                                                                                         ;0069
3037;GEN                                                                                                 ;MARGARITA                                                                                           ;0069
3038;DE TRABAJADORES POR EL SOCIALISMO                                                                   ;FRENTE DE IZQUIERDA                                                                                 ;0070
3039;DEL OBRERO                                                                                          ;FRENTE DE IZQUIERDA                                                                                 ;0071
3040;DEL OBRERO                                                                                          ;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;0071
3041;DEL OBRERO                                                                                          ;1 ROJA                                                                                              ;0071
3042;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;FRENTE POPULAR                                                                                      ;0072
3043;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;FRENTE SOLIDARIO Y POPULAR DE LOS TRABAJADORES                                                      ;0072
3044;DEL TRABAJO Y DEL PUEBLO                                                                            ;AHORA EL PUEBLO                                                                                     ;0074
3045;DEL TRABAJO Y DEL PUEBLO                                                                            ;FRENTE POPULAR                                                                                      ;0074
3046;DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ;PENSANDO COMO VOS                                                                                   ;0076
3047;RENOVADOR FEDERAL                                                                                   ;UNIDAD FEDERAL                                                                                      ;0079
3048;COMPROMISO FEDERAL                                                                                  ;AMARILLO Y NEGRO                                                                                    ;0082
3049;COMPROMISO FEDERAL                                                                                  ;CELESTE Y UNIDAD                                                                                    ;0082
3050;COMPROMISO FEDERAL                                                                                  ;COMPROMISO CON EL PUEBLO                                                                            ;0082
3051;COMPROMISO FEDERAL                                                                                  ;UNIDAD FEDERAL                                                                                      ;0082
3052;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ;CELESTE                                                                                             ;0083
3053;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ;VERDE                                                                                               ;0083
3054;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ;MEJOR ES HACER                                                                                      ;0083
3055;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ;UNIDAD                                                                                              ;0083
3056;MOVIMIENTO POPULAR NEUQUINO                                                                         ;LINEA VERDE MANZANA                                                                                 ;0151
3057;MOVIMIENTO POPULAR NEUQUINO                                                                         ;PASION POR NEUQUEN                                                                                  ;0151
3058;SOCIALISTA AUTENTICO DEL CHUBUT                                                                     ;1RO DE MAYO                                                                                         ;0153
3059;MOVIMIENTO NORTE GRANDE                                                                             ;AZUL                                                                                                ;0159
3060;NUEVO OCTUBRE                                                                                       ;PODEMOS                                                                                             ;0165
3061;FEDERAL FUEGUINO                                                                                    ;ORGULLO FUEGUINO                                                                                    ;0167
3062;MOVIMIENTO DE VIDA Y COMPROMISO                                                                     ;CELESTE                                                                                             ;0168
3063;MOVIMIENTO DE PARTICIPACION CIUDADANA                                                               ;COMPROMISO CIUDADANO, TRABAJO Y HONESTIDAD                                                          ;0170
3064;MOVIMIENTO INDEPENDIENTE RENOVADOR                                                                  ;DESARROLLO AGRO INDUSTRIAL                                                                          ;0171
3065;MOVIMIENTO INDEPENDIENTE RENOVADOR                                                                  ;SANTA FE SEGURA                                                                                     ;0171
3066;NUEVA DIRIGENCIA                                                                                    ;ESPACIO Y DESARROLLO                                                                                ;0172
3067;POPULAR                                                                                             ;ACCION POPULAR                                                                                      ;0174
3068;POPULAR                                                                                             ;CRUZADA SANTIAGUEÑA                                                                                 ;0174
3069;POPULAR                                                                                             ;LA PATRIA SOMOS TODOS                                                                               ;0174
3070;POPULAR                                                                                             ;MOVIMIENTO DE RENOVACION SANTAFESINA                                                                ;0174
3071;POPULAR                                                                                             ;MUJERES UNIDAS                                                                                      ;0174
3072;POPULAR                                                                                             ;PROTAGONISTAS                                                                                       ;0174
3073;POPULAR                                                                                             ;RED CIUDADANA SANTAFESINA                                                                           ;0174
3074;POPULAR                                                                                             ;UNA SANTA FE RENOVADA                                                                               ;0174
3075;DEMOCRATA                                                                                           ;CELESTE Y BLANCA                                                                                    ;0175
3076;FRENTE RENOVADOR AUTENTICO                                                                          ;1 PROVINCIA                                                                                         ;0176
3077;ACCION CIUDADANA                                                                                    ;PROPUESTA AUTONOMISTA                                                                               ;0178
3078;CIUDADANOS A GOBERNAR                                                                               ;AZUL Y BLANCA                                                                                       ;0179
3079;FUERZA REPUBLICANA                                                                                  ;CELESTE Y BLANCA                                                                                    ;0180
3080;VERDE                                                                                               ;LISTA UNIDAD                                                                                        ;0181
3081;ACCION POR UNA DEMOCRACIA NUEVA                                                                     ;SANJUANINO                                                                                          ;0182
3082;ACCION POR UNA DEMOCRACIA NUEVA                                                                     ;JUNTOS                                                                                              ;0182
3083;AGRARIO Y SOCIAL                                                                                    ;VERDE K                                                                                             ;0184
3084;SOCIALISTA AUTENTICO                                                                                ;HONESTIDAD Y PARTICIPACION                                                                          ;0185
3085;NUEVA IZQUIERDA                                                                                     ;IZQUIERDA AL FRENTE                                                                                 ;0186
3086;NUEVA IZQUIERDA                                                                                     ;UNIDAD DE LA IZQUIERDA                                                                              ;0186
3087;AUTODETERMINACION Y LIBERTAD                                                                        ;QUE LOS PUEBLOS MANDEN                                                                              ;0187
3088;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;CIUDADANOS RESPONSABLES                                                                             ;0188
3089;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;COMPRENSION                                                                                         ;0188
3090;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;ESPERANZA SANTAFESINA                                                                               ;0188
3091;FRENTE UNION FEDERAL                                                                                ;FRENTE DE UNIDAD NACIENTE                                                                           ;0810
3092;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;FUERZA PARA EL CAMBIO                                                                               ;0188
3093;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;JUNTOS PARA GANAR                                                                                   ;0188
3094;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;NUEVA DEMOCRACIA                                                                                    ;0188
3095;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;SALUD COMUNITARIA                                                                                   ;0188
3096;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;UN NUEVO TIEMPO                                                                                     ;0188
3097;DE LOS TRABAJADORES SOCIALISTAS                                                                     ;ROJA                                                                                                ;0190
3098;OBRERO                                                                                              ;1 ROJA                                                                                              ;0194
3099;OBRERO                                                                                              ;ROJA 1                                                                                              ;0194
3100;OBRERO                                                                                              ;ROJA EN EL FRENTE DE IZQUIERDA                                                                      ;0194
3101;PRIMERO LA GENTE                                                                                    ;CORDOBA CAMBIA                                                                                      ;0201
3102;CIUDAD FUTURA                                                                                       ;EL PODER DE LAS MUJERES                                                                             ;0202
3103;SALTA SOMOS TODOS                                                                                   ;JUNTOS SALTA SOMOS TODOS                                                                            ;0203
3104;INICIATIVA POR LA UNION                                                                             ;ALTERNATIVA PUEBLO FUEGUINO                                                                         ;0207
3105;MOVIMIENTO INTEGRACION LATINOAMERICANA DE EXPRESION SOCIAL                                          ;POR LA UNIDAD CIUDADANA JUJUY                                                                       ;0210
3106;AUTONOMISTA                                                                                         ;DORADA                                                                                              ;0211
3107;AUTONOMISTA                                                                                         ;JUBILADOS                                                                                           ;0211
3108;AUTONOMISTA                                                                                         ;SANTA FE CAMINA                                                                                     ;0211
3109;AUTONOMISTA                                                                                         ;TODOS JUNTOS                                                                                        ;0211
3110;PRINCIPIOS Y CONVICCION                                                                             ;ESPERANZA                                                                                           ;0212
3111;RENACER POLITICO Y SOCIAL                                                                           ;ABBA                                                                                                ;0215
3112;MOVIMIENTO AUTENTICO POPULAR                                                                        ;TRABAJO Y DIGNIDAD                                                                                  ;0216
3113;ENCUENTRO VECINAL CORDOBA                                                                           ;VALORES EN ACCION                                                                                   ;0217
3114;PODEMOS CON LA IZQUIERDA                                                                            ;UNIDAD                                                                                              ;0221
3115;POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL                                                          ;JUNTOS POR PAIS                                                                                     ;0231
3116;POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL                                                          ;NUEVO PAIS                                                                                          ;0231
3117;POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL                                                          ;POR UN NUEVO PAIS                                                                                   ;0231
3118;POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL                                                          ;POR UN PAIS MEJOR                                                                                   ;0231
3119;DEL CAMPO POPULAR                                                                                   ;CON TOTAL SEGURIDAD                                                                                 ;0259
